RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,89270,DOMESTIC VODKA,PLATINUM 10X VODKA - 750ML,750ML,0,13.99,,,46048,OutofStock,Budget (<$20)
1,30180,DOMESTIC GIN,GILBEY'S GIN - 750ML,750ML,0,8.99,,,46048,OutofStock,Budget (<$20)
2,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,,46048,OutofStock,Mid-Range ($20-$50)
3,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46048,OutofStock,Budget (<$20)
4,31275,COGNAC,REMY MARTIN VSOP FLASK (SC) - 375ML,375ML,120,29.99,,,46048,InStock,Mid-Range ($20-$50)
5,337217,AMERICAN RED,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,0,54.99,,,46048,OutofStock,Premium ($50-$100)
6,297056,TEQUILA,SE BUSCA JOVEN MEZCAL 750ML,750ML,0,31.99,,,46048,OutofStock,Mid-Range ($20-$50)
7,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46048,OutofStock,Budget (<$20)
8,76348,DOMESTIC VODKA FLAVORS,NEW AMSTERDAM VODKA - RASPBERRY - 750ML,750ML,0,12.99,,,46048,OutofStock,Budget (<$20)
9,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46048,OutofStock,Mid-Range ($20-$50)
10,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46048,OutofStock,Budget (<$20)
11,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46048,OutofStock,Budget (<$20)
12,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46048,OutofStock,Mid-Range ($20-$50)
13,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46048,OutofStock,Budget (<$20)
14,171217,DOMESTIC CORDIALS,MCCLINTOCK SPICED PEAR LIQUEUR - 750ML,750ML,0,23.99,,,46048,OutofStock,Mid-Range ($20-$50)
15,54320,STRAIGHT BOURBON WHISKEY,OLD JOE DOUBLE OAK BOURBON - 750ML,750ML,0,54.99,,,46048,OutofStock,Premium ($50-$100)
16,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46048,OutofStock,Premium ($50-$100)
17,247447,RED BORDEAUX WINE,CH LAGRANGE 19 ST-JULIEN GR CRU CLASSE - 750ML,750ML,0,97.99,,,46048,OutofStock,Premium ($50-$100)
18,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46048,OutofStock,Mid-Range ($20-$50)
19,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46048,OutofStock,Budget (<$20)
20,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46048,OutofStock,Budget (<$20)
21,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46048,OutofStock,Mid-Range ($20-$50)
22,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46048,OutofStock,Super-Premium ($100-$500)
23,11085,MISCELLANEOUS IMPORTED SPIRITS,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,750ML,0,61.99,,,46048,OutofStock,Premium ($50-$100)
24,18431,DOMESTIC LIQUOR SPECIALTY,ROSIE CHEEKS PEACH COBBLER 750ML,750ML,0,25.99,,,46048,OutofStock,Mid-Range ($20-$50)
25,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46048,OutofStock,Budget (<$20)
